,City,Cloudiness,Country,Date,Humidity,Lat,Lon,Max Temp,Wind Speed
0,Mataura,0,NZ,1554577668,73,-46.19,168.86,24.166400000000046,1.31
1,Slave Lake,90,CA,1554577080,100,55.28,-114.77,33.8,1.0
2,Albany,40,US,1554577564,50,42.65,-73.75,57.992,4.6
3,Rikitea,76,PF,1554577436,100,-23.12,-134.97,77.26640000000005,6.56
4,Chuy,80,UY,1554577550,82,-33.69,-53.46,70.6964000000001,4.36
5,New Norfolk,0,AU,1554577255,71,-42.78,147.06,51.00800000000001,3.6
6,Kapaa,1,US,1554577404,73,22.08,-159.32,75.99199999999999,2.1
7,Qaanaaq,68,GL,1554577670,84,77.48,-69.36,10.486400000000003,5.11
8,Bonthe,88,SL,1554577670,72,7.53,-12.5,85.90640000000008,2.61
9,Nanakuli,1,US,1554577641,78,21.39,-158.15,77.0,2.1
10,Fomboni,24,KM,1554577671,100,-12.28,43.74,85.81640000000004,2.76
11,Longyearbyen,40,NO,1554573000,57,78.22,15.63,21.2,9.3
12,Grindavik,75,IS,1554577617,100,63.84,-22.43,42.998000000000026,5.1
13,Ushuaia,90,AR,1554573600,65,-54.81,-68.31,41.0,10.8
14,Hami,80,CN,1554577672,45,42.84,93.51,54.586400000000005,2.36
15,Resistencia,40,AR,1554573600,50,-27.45,-58.99,77.0,5.1
16,Hobart,0,AU,1554577255,71,-42.88,147.33,51.00800000000001,3.6
17,Nogliki,92,RU,1554577673,93,51.8,143.14,29.296400000000084,5.91
18,Atuona,32,PF,1554577673,98,-9.8,-139.03,82.75640000000007,7.71
19,Tessalit,0,ML,1554577674,14,20.2,1.01,83.65640000000008,5.01
20,Provideniya,56,RU,1554577674,100,64.42,-173.23,11.746400000000083,3.46
21,Pevek,0,RU,1554577674,77,69.7,170.27,-0.49359999999993676,3.06
22,Ahipara,24,NZ,1554577675,100,-35.17,173.16,50.626400000000025,1.91
23,Khandyga,24,RU,1554577675,75,62.65,135.58,17.86640000000004,1.06
24,Nikolskoye,0,RU,1554577236,51,59.7,30.79,41.0,4.0
25,Mar del Plata,0,AR,1554577675,33,-46.43,-67.52,71.86640000000006,0.76
26,Saskylakh,64,RU,1554577443,81,71.97,114.09,17.686400000000003,7.86
27,Shilovo,20,RU,1554575400,84,51.55,39.09,35.6,2.0
28,Viedma,0,AR,1554577532,32,-40.81,-62.99,79.6964000000001,2.56
29,Port Blair,0,IN,1554577676,100,11.67,92.75,84.37640000000002,2.51
30,Bondoukou,24,CI,1554577677,55,8.04,-2.8,89.50640000000007,1.56
31,Santa Cruz,90,US,1554577390,77,36.97,-122.03,66.99199999999999,2.6
32,Bereda,40,ES,1554577435,71,43.27,-7.54,51.998000000000026,4.1
33,Hilo,75,US,1554577548,56,19.71,-155.08,73.4,1.5
34,Jau,0,FR,1554577650,93,45.42,-0.97,48.2,4.1
35,Mehamn,88,NO,1554577680,87,71.03,27.85,30.916400000000046,4.16
36,Honningsvag,80,NO,1554577680,98,70.98,25.97,31.816400000000044,4.11
37,Tasiilaq,75,GL,1554573000,91,65.61,-37.64,32.0,12.9
38,Yenagoa,76,NG,1554577681,76,4.92,6.26,81.22640000000003,3.66
39,San Cristobal,75,EC,1554577297,52,-0.39,-78.55,69.80000000000001,2.1
40,Nynashamn,20,SE,1554577425,48,58.9,17.95,44.99600000000005,3.6
41,Inta,0,RU,1554577681,73,66.04,60.13,27.496400000000087,3.76
42,Koscian,0,PL,1554577657,50,52.09,16.65,57.992,4.6
43,Sabaudia,75,IT,1554577670,81,41.3,13.03,55.99400000000007,0.5
44,Kahului,20,US,1554577468,65,20.89,-156.47,78.00800000000001,2.1
45,Punta Arenas,40,CL,1554577353,61,-53.16,-70.91,48.2,21.6
46,Axim,0,GH,1554577683,97,4.87,-2.24,84.01640000000005,5.91
47,Ust-Tsilma,20,RU,1554577683,71,65.44,52.15,28.486400000000003,3.11
48,Saldanha,92,PT,1554577683,75,41.42,-6.55,44.416400000000046,5.01
49,Coquimbo,75,CL,1554574620,82,-29.95,-71.34,60.8,7.7
50,Zyryanka,12,RU,1554577518,79,65.73,150.89,8.596400000000084,1.31
51,Kavieng,80,PG,1554577684,100,-2.57,150.8,82.39640000000009,3.46
52,Bouafle,64,FR,1554577647,58,48.96,1.9,60.00800000000001,4.1
53,Pitsunda,20,GE,1554577136,81,43.16,40.34,51.8,1.0
54,Broome,90,GB,1554577449,93,52.47,1.45,48.2,2.6
55,Sinnamary,100,GF,1554577685,94,5.38,-52.96,80.32640000000004,4.81
56,Cabo San Lucas,5,MX,1554577288,57,22.89,-109.91,82.00400000000005,1.0
57,Luderitz,20,NA,1554577685,80,-26.65,15.16,60.97640000000003,4.96
58,Berlevag,80,NO,1554577686,100,70.86,29.09,31.996400000000087,4.56
59,Atambua,0,ID,1554577686,100,-9.11,124.89,76.72640000000003,0.61
